date,mtranstotal,transfers_rus,mtransnorus,total_cpi,rent_cpi,cpinorent,war,Tbilisi_CPI,Kutaisi_CPI,Batumi_CPI,Gori_CPI,Telavi_CPI,Zugdidi_CPI,Tbilisi_Rent,Kutaisi_Rent,Batumi_Rent,Gori_Rent,Telavi_Rent,Zugdidi_Rent,interest_rate
2015-10-01,89924.579,35984.091,53940.488,107.8010625,114.3304044,107.7251245,0,107.4682763,107.8793199,107.9887368,104.9717617,111.4565589,100,125.5862361,99.94430704,101.6474358,107.6418,100.6231082,100,15.53
2015-11-01,85204.613,33391.637,51812.976,108.1197225,117.9328411,108.0055932,0,107.77757,108.4317699,107.9510487,105.2566551,111.8433132,100,132.6799746,99.94430704,101.6474358,107.6418,100.6231082,100,15.99
2015-12-01,101915.247,40536.899,61378.348,107.4324054,117.2126253,107.3186587,0,106.9220316,107.9256104,107.4665644,104.9364643,111.3006494,100,131.261891,99.94430704,101.6474358,107.6418,100.6231082,100,15.3
2016-01-01,66572.406,19811.981,46760.425,108.4050984,119.8139251,108.2678201,0,107.9086012,109.4386195,107.7709097,105.9153117,111.7957147,100.9347,136.9946229,99.94430704,101.6474358,107.6418,100.6231082,100,15.48
2016-02-01,79859.654,25039.966,54819.688,108.5221759,113.4129859,108.4633265,0,107.9649295,109.7494252,107.8340635,106.1889968,111.8958837,100.9940496,121.4147724,99.94430704,107.6515465,107.6418,100.6231082,100,16.4
2016-03-01,90724.662,30041.177,60683.485,108.2163604,112.4768752,108.1650951,0,107.6496719,109.2767344,107.5175705,105.9357361,111.3446845,101.2356274,122.1510316,99.94430704,105.1167832,107.6418,100.6231082,90.3602,16.84
2016-04-01,94773.556,31566.708,63206.848,107.5569981,112.3083848,107.4998264,0,107.2387731,108.1804702,106.832576,105.1193953,110.3727568,100.436777,122.7378451,99.94430704,98.51355713,107.6418,103.8823913,90.3602,17.16
2016-05-01,92894.799,31062.779,61832.02,107.1147237,111.4127254,107.0630074,0,106.7798984,108.0181995,106.388473,104.5558502,110.1805978,99.49548356,121.1417622,99.94430704,96.97497239,107.6418,103.8823913,90.3602,17.11
2016-06-01,100507.66,35752.589,64755.071,106.1608671,111.8121401,106.0928674,0,105.6192009,107.1863514,105.7912081,104.3409879,108.7571747,99.04655994,122.0218571,99.94430704,96.97497239,107.6418,103.8823913,90.3602,13.16
2016-07-01,100735.144,37708.492,63026.652,106.3375188,111.5545249,106.2747444,0,105.8150189,107.3906485,106.1133424,104.2947649,108.81884,99.14729029,122.0145358,99.94430704,94.69159969,107.6418,103.8823913,90.3602,11.92
2016-08-01,105844.069,36969.717,68874.352,106.7711632,111.3345394,106.7162537,0,106.4592208,107.3955885,106.3706672,104.9389936,109.0484478,99.37840262,121.52965,99.94430704,94.69159969,107.6418,103.8823913,90.3602,11.42
2016-09-01,100645.108,34965.093,65680.015,107.0533594,111.270188,107.0026198,0,106.5285257,108.0735769,106.7303064,105.7824933,109.8539886,99.21631645,121.3878249,99.94430704,94.69159969,107.6418,103.8823913,90.3602,10.9
2016-10-01,102922.087,34646.929,68275.158,107.6376566,111.4407652,107.5918952,0,106.9146916,108.8147455,106.9681016,106.6850295,110.6618549,100.5200188,121.763763,99.94430704,94.69159969,107.6418,103.8823913,90.3602,10.57
2016-11-01,98326.585,35468.127,62858.458,108.2861735,111.2507587,108.2505017,0,107.5390734,109.4936407,107.5164201,106.6225121,111.7958069,101.374238,122.6372962,99.94430704,89.42627329,107.6418,103.8823913,90.3602,10.07
2016-12-01,119585.462,41569.186,78016.276,109.4006548,112.023729,109.3690923,0,108.6990974,110.1065861,108.9114456,108.1304743,112.8513829,102.5556533,124.3407283,99.94430704,89.42627329,107.6418,103.8823913,90.3602,10
2017-01-01,85630.17,26531.704,59098.466,112.6067504,114.403449,112.585864,0,111.773434,113.3412973,111.8900647,111.789177,117.0150347,105.4171612,125.2298888,99.94430704,89.42627329,142.0435811,103.8823913,90.3602,10.85
2017-02-01,94731.851,30338.423,64393.428,114.5309745,114.3417856,114.5331738,0,113.7400875,114.9456434,113.5981785,114.2776041,119.0926366,107.2516306,125.0982722,99.94430704,89.42627329,142.0435811,103.8823913,90.3602,10.91
2017-03-01,112702.593,38313.934,74388.659,114.0083697,112.5967012,114.0247801,0,113.1479566,114.8501236,113.3784796,113.4404063,117.6894872,107.0186801,121.9146463,99.94430704,87.32064226,142.0435811,103.8823913,90.3602,10.59
2017-04-01,106332.996,35375.787,70957.209,114.1337789,112.8241466,114.1490032,0,113.2577102,115.3615512,113.1899312,113.4518638,117.1668282,107.4746867,121.5173264,99.94430704,90.7514703,142.0435811,103.8823913,90.3602,11.17
2017-05-01,115911.91,37838.42,78073.49,114.1369747,112.8718712,114.1516813,0,113.3027867,115.663337,113.1643502,113.2057867,117.4333827,106.7772834,121.619158,99.94430704,90.7514703,142.0435811,103.8823913,90.3602,11.71
2017-06-01,118059.715,39382.381,78677.334,113.6920687,112.8071956,113.7023552,0,112.8312205,115.2679997,112.7304781,112.4733453,116.8675887,106.6635656,121.4811202,99.94430704,90.7514703,142.0435811,103.8823913,90.3602,12.08
2017-07-01,121351.01,42976.566,78374.444,112.668499,113.6172641,112.6574698,0,111.8226222,113.7997159,112.4686052,111.124115,115.7034706,105.8697754,123.210404,99.94430704,90.7514703,142.0435811,103.8823913,90.3602,12.05
2017-08-01,122012.451,40243.336,81769.115,112.8933854,113.5873827,112.8853177,0,111.7690592,114.9245123,112.6058169,111.5026038,115.9827788,106.1059708,123.146581,99.94430704,90.7514703,142.0435811,103.8823913,90.3602,12.09
2017-09-01,124970.119,40748.014,84222.105,113.6559802,114.1040917,113.6507709,0,112.563849,115.836898,113.1587115,112.2357334,117.8291086,105.827761,123.745566,99.94430704,90.7514703,146.1813106,103.8823913,90.3602,12.06
2017-10-01,123436.31,39247.03,84189.28,114.5403374,113.3608177,114.5540491,0,113.6977046,116.2131363,113.2404121,113.4924369,118.3812558,106.9420215,122.1589003,99.94430704,90.7514703,146.1813106,103.8823913,90.3602,12.08
2017-11-01,122610.508,39152.464,83458.044,115.7907742,115.1565664,115.7981468,0,114.9252988,117.5795703,114.0347936,115.1694012,119.5451804,108.3085266,123.780804,99.94430704,90.7514703,146.1813106,116.1440455,90.3602,12.25
2017-12-01,139500.351,45290.904,94209.447,116.7482481,114.9432964,116.7692304,0,115.5983013,118.1921599,115.3099306,116.5730858,121.1229376,110.1730579,122.5566119,99.94430704,90.7514703,151.3539363,112.9491551,93.18937786,12.5
2018-01-01,110090.531,30937.566,79152.965,117.472671,114.8283532,117.5009265,0,116.2597548,119.5569248,115.7860453,117.2107406,121.3121317,110.9404133,122.3259603,99.94430704,90.7514703,151.3539363,112.9491551,93.18937786,12.51
2018-02-01,113842.85,33300.555,80542.295,117.6714348,114.2097728,117.7084239,0,116.5438936,119.522851,115.8166128,117.0431292,121.8416591,111.1416592,121.0849635,99.94430704,90.7514703,151.3539363,112.9491551,93.18937786,12.49
2018-03-01,132483.739,38292.493,94191.246,117.2309906,114.1910424,117.2634735,0,116.3374944,118.9260734,115.1972256,116.1559423,121.1188944,110.3322145,120.8395242,99.94430704,90.7514703,153.7774155,112.9491551,93.18937786,12.56
2018-04-01,124565.653,35073.238,89492.415,116.981523,114.1988074,117.0112574,0,115.9421796,118.9459341,115.0013903,115.971719,121.5670343,109.9087594,120.7569908,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786,12.62
2018-05-01,130415.601,36954.522,93461.079,116.9446739,113.5166979,116.981303,0,116.1019479,119.3636722,114.9362995,115.4812746,121.4806002,108.4678556,119.3886934,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786,12.69
2018-06-01,135107.475,39195.881,95911.594,116.1921349,114.2961036,116.2123947,0,115.3756141,117.6500873,114.8233171,115.5733132,119.9832303,108.4298918,120.9520883,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786,12.75
2018-07-01,144391.986,43002.697,101389.289,115.8660998,114.2905031,115.8829356,0,114.8471938,117.6915002,114.664861,115.031621,119.8416501,108.5135997,120.9408398,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786,12.72
2018-08-01,135767.129,41502.751,94264.378,116.4432288,114.9276726,116.4594231,0,115.2108,118.9063118,115.6338937,115.2583484,120.81009040000001,108.795518,122.2190635,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786,12.49
2018-09-01,131454.572,37695.798,93758.774,116.7747427,115.2640659,116.7908848,0,115.45401,118.9916866,115.5110905,116.0701129,122.0446488,109.4790803,122.8937127,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786,12.47
2018-10-01,137379.53,39655.157,97724.373,117.1481883,115.7744552,117.1628671,0,115.8756481,119.2338346,115.6986805,116.5249917,122.7229729,109.6772374,123.9176632,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786,12.32
2018-11-01,133278.622,37787.196,95491.426,117.9754888,115.5298238,118.00162159999999,0,116.6999874,120.2662804,116.4390364,117.3955499,123.2558361,110.433462,123.4269492,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786,12.41
2018-12-01,150887.21,43785.84,107101.37,118.5171143,115.5610168,118.5487012,0,116.9067798,121.2232392,116.5430164,118.5938063,123.8433966,112.1869245,123.4895267,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786,12.05
2019-01-01,115693.338,27597.326,88096.012,120.0437332,120.0542603,120.043612,0,118.3428627,122.5026293,118.4707545,120.7095198,124.9524142,113.9659847,132.7367929,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786,11.04
2019-02-01,125467.812,31616.101,93851.711,120.372653,121.1934552,120.3632038,0,118.4775369,123.0568312,118.8718964,121.4600916,125.8139611,114.2176216,135.0813229,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786,10.63
2019-03-01,138383.519,35416.482,102967.037,121.5737314,121.2997418,121.5768856,0,119.9231998,124.3399448,119.6229291,122.3424991,127.1696066,114.4205863,135.3001546,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786,9.95
2019-04-01,137117.976,34345.795,102772.181,121.8224712,121.1500579,121.8302122,0,120.1686826,124.9247155,119.8528444,121.6304658,127.7133838,114.5995401,134.9920762,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786,8.76
